image,label
StandfordDogs/Images/n02085620-Chihuahua/n02085620_10074.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_10131.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_10621.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1073.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_10976.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11140.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11238.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11258.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11337.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11477.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1152.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11696.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11818.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_11948.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1205.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_12101.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_12334.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1235.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1271.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_12718.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1298.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_13151.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1321.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_13383.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1346.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_13964.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_14252.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_14413.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_14516.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1455.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1492.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1502.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1558.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1569.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1617.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1620.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1765.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1816.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1862.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_1916.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_199.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2053.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2188.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2204.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2208.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_242.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2479.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2507.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2517.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2590.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2614.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2650.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2693.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2706.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_275.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2793.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2815.jpg,1
StandfordDogs/Images/n02085620-Chihuahua/n02085620_2887.jpg,1
